amfi_code,date,nav,daily_return_pct
100016,2022-01-03,520.4608,
100016,2022-01-04,515.0971,-1.0306
100016,2022-01-05,521.7239,1.2865
100016,2022-01-06,515.788,-1.1377
100016,2022-01-07,515.1639,-0.121
100016,2022-01-08,515.1639,0.0
100016,2022-01-09,515.1639,0.0
100016,2022-01-10,510.7136,-0.8639
100016,2022-01-11,513.5542,0.5562
100016,2022-01-12,512.3195,-0.2404
100016,2022-01-13,510.2445,-0.405
100016,2022-01-14,514.3636,0.8073
100016,2022-01-15,514.3636,0.0
100016,2022-01-16,514.3636,0.0
100016,2022-01-17,514.7627,0.0776
100016,2022-01-18,517.3803,0.5085
100016,2022-01-19,513.1866,-0.8106
100016,2022-01-20,507.1294,-1.1803
100016,2022-01-21,507.871,0.1462
100016,2022-01-22,507.871,0.0
100016,2022-01-23,507.871,0.0
100016,2022-01-24,506.7062,-0.2293
100016,2022-01-25,509.7762,0.6059
100016,2022-01-26,509.68,-0.0189
100016,2022-01-27,510.8661,0.2327
100016,2022-01-28,503.8641,-1.3706
100016,2022-01-29,503.8641,0.0
100016,2022-01-30,503.8641,0.0
100016,2022-01-31,512.5903,1.7319
100016,2022-02-01,512.1124,-0.0932
100016,2022-02-02,515.5386,0.669
100016,2022-02-03,512.0153,-0.6834
100016,2022-02-04,513.6729,0.3237
100016,2022-02-05,513.6729,0.0
100016,2022-02-06,513.6729,0.0
100016,2022-02-07,508.0666,-1.0914
100016,2022-02-08,510.3595,0.4513
100016,2022-02-09,509.0223,-0.262
100016,2022-02-10,509.4161,0.0774
100016,2022-02-11,512.826,0.6694
100016,2022-02-12,512.826,0.0
100016,2022-02-13,512.826,0.0
100016,2022-02-14,507.5435,-1.0301
100016,2022-02-15,504.7492,-0.5506
100016,2022-02-16,507.0506,0.4559
100016,2022-02-17,516.7872,1.9202
100016,2022-02-18,516.4246,-0.0702
100016,2022-02-19,516.4246,0.0
100016,2022-02-20,516.4246,0.0
100016,2022-02-21,519.3918,0.5746
100016,2022-02-22,519.1698,-0.0427
100016,2022-02-23,528.4118,1.7801
100016,2022-02-24,520.6004,-1.4783
100016,2022-02-25,521.3038,0.1351
100016,2022-02-26,521.3038,0.0
100016,2022-02-27,521.3038,0.0
100016,2022-02-28,514.1489,-1.3725
100016,2022-03-01,503.1674,-2.1359
100016,2022-03-02,504.7495,0.3144
100016,2022-03-03,505.6316,0.1748
100016,2022-03-04,504.6233,-0.1994
100016,2022-03-05,504.6233,0.0
100016,2022-03-06,504.6233,0.0
100016,2022-03-07,504.411,-0.0421
100016,2022-03-08,518.6513,2.8232
100016,2022-03-09,517.7387,-0.176
